n, q, tp, g, app, MOS, stdev, Queue
50, 5B, 90, 1, hostVIP, 4.378595164521568, 0.005897610906459733, 135000.0
50, 5B, 100, 1, hostVIP, 4.378699874769198, 0.005897540760929309, 150000.0
50, 5B, 110, 1, hostVIP, 4.378765847659217, 0.0058965705717063475, 165000.0
50, 5B, 120, 1, hostVIP, 4.378811144723472, 0.005896443211427437, 180000.0
50, 5B, 130, 1, hostVIP, 4.37884469922255, 0.0058960812590635675, 195000.0
50, 5B, 140, 1, hostVIP, 4.378870332176924, 0.005895964300219452, 210000.0
50, 5B, 150, 1, hostVIP, 4.37889046734902, 0.005896049323917127, 225000.0
50, 10B, 50, 1, hostVIP, 2.866865748730479, 0.09475055614638635, 150000.0
50, 10B, 60, 1, hostVIP, 3.0416843679386893, 0.08061263911778518, 180000.0
50, 10B, 70, 1, hostVIP, 3.5627041945664404, 0.07227219745469128, 210000.0
50, 10B, 80, 1, hostVIP, 4.375989166969887, 0.006098342526629656, 240000.0
50, 10B, 90, 1, hostVIP, 4.378595164521568, 0.005897610906459733, 270000.0
50, 10B, 100, 1, hostVIP, 4.378699874769198, 0.005897540760929309, 300000.0
50, 10B, 110, 1, hostVIP, 4.378765847659217, 0.0058965705717063475, 330000.0
50, 10B, 120, 1, hostVIP, 4.378811144723472, 0.005896443211427437, 360000.0
50, 10B, 130, 1, hostVIP, 4.37884469922255, 0.0058960812590635675, 390000.0
50, 10B, 140, 1, hostVIP, 4.378870332176924, 0.005895964300219452, 420000.0
50, 10B, 150, 1, hostVIP, 4.37889046734902, 0.005896049323917127, 450000.0
60, T, 50, 1, hostVIP, 3.145948072100133, 0.11185747857249397, 2400
60, T, 60, 1, hostVIP, 3.622652040685372, 0.08668288414469558, 3000
60, T, 70, 1, hostVIP, 4.106117797241253, 0.05609147429168403, 3600
60, T, 80, 1, hostVIP, 4.334515478896058, 0.025388430636860426, 4200
60, T, 90, 1, hostVIP, 4.366579901949557, 0.014382558149895325, 4200
60, T, 100, 1, hostVIP, 4.378382616897675, 0.007591668199446594, 4800
60, T, 110, 1, hostVIP, 4.379436762434187, 0.00721952194852471, 5400
60, T, 120, 1, hostVIP, 4.379473946964677, 0.007219276652927395, 6000
60, T, 130, 1, hostVIP, 4.37950124329088, 0.00721873972746726, 6600
60, T, 140, 1, hostVIP, 4.379521985830742, 0.007219049977498616, 6600
60, T, 150, 1, hostVIP, 4.37953847874036, 0.007219083967304258, 7200
60, B, 50, 1, hostVIP, 3.292180097296658, 0.10852448765864596, 18000.0
60, B, 60, 1, hostVIP, 3.7141859356402693, 0.08602671502634263, 21600.0
60, B, 70, 1, hostVIP, 4.160176815887728, 0.048771093754083346, 25200.0
60, B, 80, 1, hostVIP, 4.3787751750918, 0.007295815920967545, 28800.0
60, B, 90, 1, hostVIP, 4.379294307102005, 0.007218740419620093, 32400.0
60, B, 100, 1, hostVIP, 4.379381933235273, 0.007219274960228868, 36000.0
60, B, 110, 1, hostVIP, 4.379436762434187, 0.00721952194852471, 39600.0
60, B, 120, 1, hostVIP, 4.379473946964677, 0.007219276652927395, 43200.0
60, B, 130, 1, hostVIP, 4.37950124329088, 0.00721873972746726, 46800.0
60, B, 140, 1, hostVIP, 4.379521985830742, 0.007219049977498616, 50400.0
60, B, 150, 1, hostVIP, 4.37953847874036, 0.007219083967304258, 54000.0
60, 5B, 50, 1, hostVIP, 3.2270929518429328, 0.1090412523427574, 90000.0
60, 5B, 60, 1, hostVIP, 3.4144541977959513, 0.08440851220472687, 108000.0
60, 5B, 70, 1, hostVIP, 3.7178067691779604, 0.06388612453822996, 126000.0
60, 5B, 80, 1, hostVIP, 4.3787751750918, 0.007295815920967545, 144000.0
60, 5B, 90, 1, hostVIP, 4.379294307102005, 0.007218740419620093, 162000.0
60, 5B, 100, 1, hostVIP, 4.379381933235273, 0.007219274960228868, 180000.0
60, 5B, 110, 1, hostVIP, 4.379436762434187, 0.00721952194852471, 198000.0
60, 5B, 120, 1, hostVIP, 4.379473946964677, 0.007219276652927395, 216000.0
60, 5B, 130, 1, hostVIP, 4.37950124329088, 0.00721873972746726, 234000.0
60, 5B, 140, 1, hostVIP, 4.379521985830742, 0.007219049977498616, 252000.0
60, 5B, 150, 1, hostVIP, 4.37953847874036, 0.007219083967304258, 270000.0
60, 10B, 50, 1, hostVIP, 2.8530361676651785, 0.1004324106506361, 180000.0
60, 10B, 60, 1, hostVIP, 3.063841192886497, 0.08837576540213102, 216000.0
60, 10B, 70, 1, hostVIP, 3.637163234988844, 0.07043329075338807, 252000.0
60, 10B, 80, 1, hostVIP, 4.3787751750918, 0.007295815920967545, 288000.0
60, 10B, 90, 1, hostVIP, 4.379294307102005, 0.007218740419620093, 324000.0
60, 10B, 100, 1, hostVIP, 4.379381933235273, 0.007219274960228868, 360000.0
60, 10B, 110, 1, hostVIP, 4.379436762434187, 0.00721952194852471, 396000.0
60, 10B, 120, 1, hostVIP, 4.379473946964677, 0.007219276652927395, 432000.0
60, 10B, 130, 1, hostVIP, 4.37950124329088, 0.00721873972746726, 468000.0
60, 10B, 140, 1, hostVIP, 4.379521985830742, 0.007219049977498616, 504000.0
60, 10B, 150, 1, hostVIP, 4.37953847874036, 0.007219083967304258, 540000.0
70, T, 50, 1, hostVIP, 3.220809516502741, 0.10629237841196601, 3000
70, T, 60, 1, hostVIP, 3.6659900539955643, 0.0823927176389298, 3600
70, T, 70, 1, hostVIP, 4.09095370851961, 0.05613545754337453, 3600
70, T, 80, 1, hostVIP, 4.319075428228366, 0.027475818950665223, 4200
70, T, 90, 1, hostVIP, 4.368304835980497, 0.016125230075112157, 4800
70, T, 100, 1, hostVIP, 4.376366249832012, 0.011263098001218996, 5400
70, T, 110, 1, hostVIP, 4.377258435372567, 0.01065423804675711, 6000
70, T, 120, 1, hostVIP, 4.377292329982157, 0.010654042022783597, 6600
