n, q, tp, g, app, MOS, stdev, Queue
10, 5B, 90, S, hostVIP, 4.311249537133975, 0.009868061067689985
10, 5B, 90, S, hostVID, 3.5097054719778953, 0.23055628215344237
10, 5B, 90, S, hostLVD, 3.5003972401347303, 0.17208139249921284
10, 5B, 90, S, hostFDO, 3.4959970227909247, 0.2733223664093676
10, 5B, 100, S, hostVIP, 4.373163528934304, 0.0076589722542057094
10, 5B, 100, S, hostVID, 3.672272444676334, 0.22669868649411906
10, 5B, 100, S, hostLVD, 3.5277972495090517, 0.157891763653028
10, 5B, 100, S, hostFDO, 3.670946225272574, 0.17089497156233924
10, 5B, 110, S, hostVID, 3.85806647537305, 0.09572366699884959
10, 5B, 110, S, hostLVD, 3.5708831954540083, 0.1851946844757359
10, 5B, 120, S, hostVID, 3.769411355766204, 0.16751491090328507
10, 5B, 120, S, hostLVD, 3.5874219482134384, 0.14129772750035496
10, 5B, 130, S, hostVID, 3.887601312301574, 0.1736038985596792
10, 5B, 130, S, hostLVD, 3.615962990261315, 0.12500062306986004
10, 5B, 140, S, hostVID, 3.8854905664365416, 0.1379418955956665
10, 5B, 140, S, hostLVD, 3.7842664267704955, 0.21416273277633463
10, 5B, 150, S, hostVID, 3.9261837033975917, 0.14466205109043512
10, 5B, 150, S, hostLVD, 3.7803101466447173, 0.09420278821172501
10, 5B, 50, F, hostVIP, 1.9203220863212778, 0.10409553719124014
